symbol,ts,title,p_pos,p_neg,p_neu,sent_signed,lab,lex,human_label
GCO,2018-06-05 00:00:00 UTC,Mid-Afternoon Market Update: Tarena International Falls After Q1 Results; AMERI Holdings Shares Climb,0.9473051,0.028606135,0.024088781,0.91869897,pos,0,
PRIM,2019-11-04 00:00:00 UTC,"Primoris Services Q3 EPS $0.7 Beats $0.65 Estimate, Sales $865.064M Miss $894.97M Estimate",0.8074765,0.085774906,0.10674859,0.7217016,pos,0,
RS,2018-01-12 00:00:00 UTC,Vishay Intertechnology Earns Relative Strength Rating Upgrade; Hits Key Benchmark,0.85907525,0.03629914,0.104625545,0.8227761,pos,1,
ALB,2022-04-05 00:00:00 UTC,Australia's Mineral Resources to raise spodumene output as demand soars,0.94487375,0.014573085,0.04055316,0.93030065,pos,1,
EXEL,2017-11-28 00:00:00 UTC,Exelixis Meets 80-Plus Relative Strength Rating Benchmark,0.75128096,0.009531407,0.23918766,0.7417496,pos,1,
RS,2017-10-20 00:00:00 UTC,Warrior Met Coal Scores Relative Strength Rating Upgrade,0.9566804,0.018220218,0.02509941,0.9384602,pos,1,
RMBS,2015-10-19 00:00:00 UTC,Rambus' (RMBS) CEO Ron Black on Q3 2015 Results - Earnings Call Transcript,0.54645187,0.3807405,0.07280766,0.16571137,pos,0,
PEP,2015-07-09 00:00:00 UTC,"PepsiCo Reports Q2 EPS $1.32 Vs $1.24, Sales $15.92B Vs $15.8B",0.9358133,0.011597517,0.05258914,0.9242158,pos,0,
DD,2017-05-10 00:00:00 UTC,A Strong Earnings Season Winding Down,0.930217,0.04631278,0.023470175,0.8839042,pos,1,
NBIX,2019-02-05 00:00:00 UTC,"The Daily Biotech Pulse: Gilead Earnings, Codexis Sings Pact With Merck, Eli Lilly Reports Positive Trial Results",0.90452915,0.032947473,0.06252332,0.8715817,pos,1,
URBN,2017-11-20 00:00:00 UTC,"Urban Outfitters (URBN) Posts Record Q3 Sales, Positive Comps Across the Board",0.6189334,0.03925917,0.34180743,0.5796742,pos,1,
EW,2015-07-13 00:00:00 UTC,Stocks Hold Gains; Edwards Lifesciences Breaks Out On Upgrade,0.56932896,0.037845835,0.3928252,0.5314831,pos,1,
FDX,2022-06-14 00:00:00 UTC,"Daily Dividend Report: ORCL,FITB,FDX,ATNI,SLG",0.93992025,0.025843136,0.034236595,0.9140771,pos,0,
AEO,2013-08-06 00:00:00 UTC,More Hawkish Fed Comments Pressure Dow Even Lower,0.5166291,0.29987928,0.18349163,0.21674982,pos,-1,
WDC,2020-03-09 00:00:00 UTC,"Shares of several companies in the technology, software and semiconductor space are trading lower as equities crash amid coronavirus fears. The virus spread has disrupted economic activity across sectors and caused global macro uncertainty.",0.75497556,0.008387021,0.23663744,0.7465885,pos,-1,
RS,2017-12-22 00:00:00 UTC,Tivity Health Shows Improved Relative Strength; Still Shy Of Benchmark,0.683707,0.053343292,0.26294976,0.6303637,pos,1,
HL,2018-08-24 00:00:00 UTC,Mid-Day Market Update: Dow Up Over 100 Points; Hibbett Sports Shares Drop Following Q2 Results,0.942392,0.029591402,0.028016577,0.9128006,pos,-1,
GCO,2019-12-06 00:00:00 UTC,"Earnings Scheduled For December 6, 2019",0.634102,0.05806626,0.3078318,0.57603574,pos,0,
PVH,2014-06-04 00:00:00 UTC,Jim Cramer Interviews CEO Manny Chirico of PVH on Mad Money,0.9503198,0.024354974,0.025325164,0.92596483,pos,0,
ORCL,2020-09-14 00:00:00 UTC,Why Sea Limited Stock Was Climbing Today,0.72356266,0.07746391,0.19897346,0.64609873,pos,0,
HAS,2023-07-31 00:00:00 UTC,Stocks See Support from Global Economic Optimism,0.9157757,0.048156638,0.036067653,0.8676191,pos,0,
WBA,2018-06-20 00:00:00 UTC,Can Rite Aid's (RAD) Strategies Reverse Earnings Trend in Q1?,0.9503112,0.024165224,0.025523564,0.926146,pos,0,
AA,2016-04-12 00:00:00 UTC,Mid-Afternoon Market Update: Crude Oil Up 4.5%; Horizon Pharma Shares Tumble,0.51598567,0.45535573,0.028658612,0.060629934,pos,0,
ULTA,2016-05-27 00:00:00 UTC,"Ulta Salon, Cosmetics & Fragrance Inc. Posts Record Sales Growth",0.6200752,0.02105269,0.35887203,0.5990225,pos,1,
PGR,2018-07-27 00:00:00 UTC,Reinsurance Group (RGA) Q2 Earnings & Revenues Lag Estimates,0.6488418,0.1659867,0.18517153,0.48285508,pos,0,
MU,2017-03-24 00:00:00 UTC,"After Hours Most Active for Mar 24, 2017 : FTXO, FTR, PENN, BAC, MU, PG, QQQ, OFC, GE, QTEC, WY, DNR",0.93068165,0.043528564,0.02578982,0.8871531,pos,0,
PODD,2020-03-20 00:00:00 UTC,"Insulet Rides on DexCom Pact, Omnipod's Wider Market Reach",0.944362,0.022036433,0.033601545,0.92232555,pos,0,
ADSK,2019-11-20 00:00:00 UTC,10 Biggest Price Target Changes For Wednesday,0.855119,0.01802691,0.12685409,0.8370921,pos,0,
CYH,2015-10-22 00:00:00 UTC,"Notable Thursday Option Activity: CYH, APOL, LNKD",0.8594281,0.09642516,0.044146657,0.76300293,pos,0,
NHI,2012-08-06 00:00:00 UTC,NHI Announces Increase in Third Quarter Dividend,0.8621938,0.02426822,0.11353787,0.8379256,pos,0,
NWBI,2016-10-19 00:00:00 UTC,NW Bancshares Spikes to High of $15.95 on Volume,0.9121938,0.046130642,0.04167556,0.8660631,pos,1,
ADM,2020-08-10 00:00:00 UTC,'Like gold': Canadian canola prices spike as shippers find back door to China,0.73704857,0.23056768,0.032383654,0.5064809,pos,0,
GRMN,2016-07-25 00:00:00 UTC,Will Garmin (GRMN) Beat Estimates this Earnings Season?,0.7302047,0.0174432,0.25235203,0.7127615,pos,1,
TTWO,2021-08-04 00:00:00 UTC,What To Expect From Electronic Arts' FY22 Q1?,0.90270334,0.046369594,0.05092704,0.85633373,pos,0,
NTES,2020-06-02 00:00:00 UTC,Nasdaq Today: Why NetEase and Align Technology Led Stocks Higher,0.6643,0.047747247,0.28795275,0.61655277,pos,1,
BRO,2020-02-28 00:00:00 UTC,"Willis Towers Boosts Shareholder Value, Hikes Dividend",0.8101554,0.10836524,0.08147947,0.70179015,pos,0,
FNV,2020-05-08 00:00:00 UTC,"Kinross' (KGC) Q1 Earnings Beat Estimates, Sales Up Y/Y",0.94141537,0.02508787,0.0334967,0.9163275,pos,1,
DK,2018-11-02 00:00:00 UTC,Can Discounted Permian Crude Drive Delek's (DK) Q3 Earnings?,0.9467222,0.020114545,0.033163276,0.92660767,pos,0,
ALGN,2017-06-21 00:00:00 UTC,Hologic (HOLX) Gets FDA Clearance for Aptima HSV 1 & 2 Test,0.93426985,0.010059479,0.055670634,0.92421037,pos,0,
EA,2013-07-24 00:00:00 UTC,Mid-Afternoon Market Update: Agios Pharma Has Wildly Successful IPO Amid Red Markets,0.80653185,0.019723402,0.17374474,0.78680843,pos,0,
TROW,2018-12-13 00:00:00 UTC,T. Rowe Price Reports 2% Sequential Gain in November AUM,0.9389246,0.030656975,0.030418402,0.9082676,pos,1,
DPZ,2017-08-28 00:00:00 UTC,Will Rising Avocado Prices Hamper Chipotle's Turnaround?,0.9052122,0.032461166,0.062326588,0.87275106,pos,0,
PRGS,2011-06-28 00:00:00 UTC,Progress Software Reports Q2 EPS of $0.38 vs. $0.38 Estimate; Revenues $134.7M vs. $134.08M Estimate,0.5321512,0.2766162,0.19123256,0.25553504,pos,0,
THS,2018-02-15 00:00:00 UTC,TreeHouse Foods Sees Q1 EPS $0.10-$0.20; Sees FY18 EPS $2-$2.40,0.70093256,0.037148066,0.26191938,0.6637845,pos,0,
GILD,2015-02-03 00:00:00 UTC,"Here's What To Watch At Gilead Sciences, Chipotle & Twitter",0.95175385,0.01812639,0.030119758,0.9336275,pos,0,
INFN,2014-10-23 00:00:00 UTC,Stocks Hitting 52-Week Highs,0.71206427,0.10218266,0.18575308,0.60988164,pos,0,
ULTA,2014-09-12 00:00:00 UTC,Ulta Looks Beautiful Once Again,0.41038996,0.40245232,0.18715769,0.00793764,pos,0,
MU,2018-09-30 00:00:00 UTC,Better Buy: Micron Technology Inc. vs. Intel,0.70276463,0.06435387,0.23288152,0.63841075,pos,1,
TEVA,2018-05-03 00:00:00 UTC,TEVA Crosses Below Key Moving Average Level,0.5853706,0.26281857,0.1518109,0.32255203,pos,0,
HBAN,2011-01-05 00:00:00 UTC,10 Midwest Bank Stocks Poised for the Recovery,0.8433725,0.044697106,0.11193043,0.7986754,pos,0,
TJX,2012-05-15 00:00:00 UTC,"Stocks to Watch: Home Depot, Avon (Update 1)",0.9219444,0.046260916,0.03179463,0.8756835,pos,0,
ALB,2020-02-20 00:00:00 UTC,8 Basic Materials Stocks Moving In Thursday's Pre-Market Session,0.9346825,0.049730238,0.015587306,0.88495225,pos,0,
DE,2017-08-18 00:00:00 UTC,"Why Nike, Deere, and Matson Slumped Today",0.948607,0.018933488,0.032459546,0.92967355,pos,0,
BXC,2019-03-13 00:00:00 UTC,Mid-Day Market Update: Guardant Health Jumps Following Upbeat Q4 Results; Sientra Shares Plunge,0.6131289,0.3144964,0.07237468,0.2986325,pos,0,
DGX,2020-01-29 00:00:00 UTC,Quest Diagnostics (DGX) Hits a 52-Week High: What's Driving the Stock?,0.9041967,0.011205694,0.08459763,0.892991,pos,0,
GME,2021-02-03 00:00:00 UTC,Regulators to meet as brokers call time on Reddit-trader rollercoaster,0.7900665,0.17732362,0.03260994,0.61274284,pos,0,
DDD,2014-02-05 00:00:00 UTC,Mid-Day Market Update: CH Robinson Shares Drop On Downbeat Results; Tableau Spikes Higher,0.028833272,0.92544985,0.045716878,-0.8966166,neg,0,
PENN,2023-08-09 00:00:00 UTC,US STOCKS-Wall Street drops ahead of CPI inflation data,0.015957898,0.94945806,0.03458401,-0.9335002,neg,0,
V,2022-01-28 00:00:00 UTC,3 Buffett Stocks to Buy Hand Over Fist Before January Ends,0.0131640425,0.90856284,0.078273095,-0.8953988,neg,0,
ROG,2013-01-11 00:00:00 UTC,DA Davidson Downgrades Rogers Corporation to Neutral,0.025501672,0.65769684,0.3168015,-0.6321952,neg,0,
DLB,2018-04-24 00:00:00 UTC,Dolby Laboratories Shares Down 8.8% As Co. Issues Mixed Q3 Guidance,0.33139873,0.583543,0.08505831,-0.25214428,neg,0,
DBO,2019-04-26 00:00:00 UTC,Forex Daily Recap – The Greenback Lost Hold of 98.00 Top Levels on Weaker US Q1 GDP & PCE Data,0.010030966,0.9687335,0.02123556,-0.9587025,neg,0,
TRV,2013-10-24 00:00:00 UTC,"Allied World Beats on Earnings, Lags on Revs - Analyst Blog",0.05578056,0.8358563,0.10836314,-0.7800758,neg,1,
HPQ,2022-03-28 00:00:00 UTC,"AMC Is Jumping, but This Takeover Target Is Monday's Real Winner",0.36584264,0.5164249,0.11773241,-0.15058225,neg,0,
RDN,2020-05-13 00:00:00 UTC,"Shares of several companies in the financial services sector are trading lower amid market weakness, potentially related to cautious comments from Fed Chair Powell, who suggested uncertainty and 'significant' downside risks in the economy. The coronavirus pandemic has slowed economic growth and led to businesses scaling back investment, which has negatively impacted the financial sector.",0.00855604,0.97361165,0.01783232,-0.9650556,neg,-1,
ODP,2013-02-19 00:00:00 UTC,Staples Bid Almost 6% Higher Pre-Market on OfficeMax-Office Depot Merger Talks Report,0.009811997,0.9402124,0.049975634,-0.93040043,neg,1,
MNST,2019-02-28 00:00:00 UTC,"Thursday Sector Leaders: Beverages & Wineries, Music & Electronics Stores",0.31624192,0.6203821,0.06337602,-0.30414015,neg,0,
CALM,2015-12-24 00:00:00 UTC,"Stocks To Watch For December 24, 2015",0.012776543,0.96848786,0.018735562,-0.9557113,neg,0,
GNRC,2013-06-14 00:00:00 UTC,Stocks Lower At Midday After Erasing Early Gains,0.063737124,0.91491365,0.021349262,-0.8511765,neg,0,
QCOM,2022-11-03 00:00:00 UTC,"Technology Sector Update for 11/03/2022: MKSI,QCOM,CFLT",0.08674523,0.7522974,0.16095737,-0.66555214,neg,0,
FL,2018-03-02 00:00:00 UTC,What If the Dow's Tumble Isn't Just About Tariffs?,0.12935165,0.58198273,0.2886656,-0.4526311,neg,0,
PCG,2019-09-20 00:00:00 UTC,26 Stocks Moving in Friday's Pre-Market Session,0.009189968,0.96715856,0.023651462,-0.9579686,neg,0,
DB,2010-07-27 00:00:00 UTC,Deutsche Bank Climbs As Q2 Net Profit Moves Up 9%,0.030201921,0.9249878,0.044810247,-0.8947859,neg,1,
KMB,2022-01-26 00:00:00 UTC,Kimberly-Clark Sees Operating Profit Down Low To Mid-single Digits Percent In 2022,0.021687428,0.9664288,0.011883729,-0.94474137,neg,1,
NEM,2018-10-25 00:00:00 UTC,"Newmont (NEM) Q3 Earnings Beat, Revenues Trail Estimates",0.012957142,0.9519591,0.035083845,-0.9390019,neg,1,
KSS,2017-02-24 00:00:00 UTC,"Week In Review: Dow Runs On; Tesla Is On 'Edge'; Facebook? Oh, Snap",0.42287323,0.558032,0.019094802,-0.13515875,neg,0,
XPO,2014-11-10 00:00:00 UTC,"Credit Suisse Maintains Outperform on XPO Logistics, Inc., Lowers PT to $45.00",0.05644456,0.9181138,0.025441557,-0.86166924,neg,1,
PAYX,2017-03-29 00:00:00 UTC,Mid-Day Market Update: Crude Oil Up 1.5%; Alliqua Biomedical Shares Slide,0.012659102,0.9671117,0.020229187,-0.95445263,neg,0,
FL,2017-08-18 00:00:00 UTC,"8 Stocks To Watch For August 18, 2017",0.013508986,0.9251145,0.061376493,-0.91160554,neg,0,
CRM,2015-05-21 00:00:00 UTC,Salesforce (CRM) Gains on Q1 Earnings and Revenue Beat - Analyst Blog,0.1279173,0.756519,0.11556365,-0.62860173,neg,1,
CMG,2016-10-26 00:00:00 UTC,"3 Stocks to Watch on Wednesday: Chipotle Mexican Grill, Inc. (CMG), Boeing Co (BA) and Pandora Media Inc (P)",0.015250496,0.9509148,0.0338347,-0.9356643,neg,0,
PBR,2018-11-06 00:00:00 UTC,"PBF Energy (PBF) Q3 Earnings Beat Estimates, Revenues Surge",0.22161031,0.6294622,0.1489275,-0.40785187,neg,1,
DLTR,2018-11-29 00:00:00 UTC,Mid-Day Market Update: NASDAQ Down 1%; Tonix Pharmaceuticals Shares Spike Higher,0.012343858,0.96539146,0.0222647,-0.9530476,neg,1,
DDD,2019-05-08 00:00:00 UTC,"10 Stocks To Watch For May 8, 2019",0.021758297,0.9695869,0.0086548515,-0.9478286,neg,0,
AAL,2019-04-09 00:00:00 UTC,"US STOCKS-Wall St drops on U.S. trade tensions with EU, IMF global outlook",0.01023066,0.9651312,0.024638133,-0.95490056,neg,0,
WBA,2023-03-31 00:00:00 UTC,"SPX, Nasdaq on Pace for Big Monthly, Quarterly Wins",0.3355815,0.3537531,0.3106654,-0.018171579,neg,1,
HAS,2019-02-08 00:00:00 UTC,"Hasbro Q4 EPS $1.33 Misses $1.69 Estimate, GAAP Sales $1.39B May Not Compare To $1.53B Estimate",0.035685897,0.5122527,0.4520614,-0.4765668,neg,0,
GME,2014-08-21 00:00:00 UTC,GAMESTOP,0.17358603,0.7614228,0.06499116,-0.5878368,neg,0,
MT,2016-12-16 00:00:00 UTC,"Steel Dynamics Sees Weak Q4, But 2017 Activity Will Improve",0.3294431,0.6059386,0.06461828,-0.27649552,neg,0,
DLN,2018-12-18 00:00:00 UTC,Insiders Bullish on Certain Holdings of DLN,0.2180807,0.6176246,0.16429475,-0.39954388,neg,0,
ES,2017-12-21 00:00:00 UTC,"Market Snapshot – Markets Mixed Ahead of Holidays, US GDP Revised Slightly Lower",0.1289196,0.8439516,0.02712878,-0.715032,neg,-1,
CLF,2014-10-28 00:00:00 UTC,Move Higher in Cliffs Natural Being Attributed to Comment from Exec on Call Co. is Looking at Three Accretive Partners for Bloom Lake Project,0.009154007,0.9709298,0.01991624,-0.9617758,neg,1,
EQT,2016-02-04 00:00:00 UTC,EQT (EQT) David L. Porges on Q4 2015 Results - Earnings Call Transcript,0.20413658,0.7152954,0.08056802,-0.5111588,neg,0,
GILD,2020-07-13 00:00:00 UTC,One in three South Korean COVID-19 patients improve with remdesivir,0.030294742,0.9351076,0.034597684,-0.9048129,neg,1,
WFC,2018-07-13 00:00:00 UTC,"Q2 Earnings From JPM, WFC, C and PNC",0.13281727,0.7152041,0.15197863,-0.58238685,neg,0,
WBA,2019-10-28 00:00:00 UTC,"Walgreens Boots EPS beats by $0.02, beats on revenue",0.030155746,0.88819206,0.08165224,-0.85803634,neg,1,
NEE,2018-08-01 00:00:00 UTC,"FirstEnergy (FE) Beats Earnings, Revenue Estimates in Q2",0.012853136,0.97429377,0.012853136,-0.9614406,neg,1,
KSS,2020-03-30 00:00:00 UTC,U.S. Retailers To Furlough Most Of Employees,0.020112142,0.9246809,0.055206977,-0.90456873,neg,0,
WFC,2014-07-14 00:00:00 UTC,Compass Point Weighs In On Wells Fargo's Q2 Results,0.025600266,0.8611147,0.113285065,-0.8355144,neg,0,
TD,2017-03-15 00:00:00 UTC,"SHAREHOLDER ALERT: Faruqi & Faruqi, LLP Encourages Investors Who Suffered Losses In Excess ...",0.038821083,0.7676536,0.1935254,-0.7288325,neg,-1,
DISH,2013-04-15 00:00:00 UTC,SoftBank Counterbid Seen As Dish Bids To Buy Sprint,0.37619936,0.49692523,0.12687537,-0.12072587,neg,0,
EME,2015-08-05 00:00:00 UTC,Granite Construction Falls as Q2 Earnings Miss Estimates - Analyst Blog,0.009180435,0.96615535,0.024664277,-0.9569749,neg,-1,
INFY,2015-09-14 00:00:00 UTC,"Asian ADRs Slide as Chinese Online Retailers, Asian Telecoms Slump",0.01003741,0.961812,0.02815061,-0.9517746,neg,-1,
DLTR,2016-08-26 00:00:00 UTC,"Burlington Stores Earnings Double, Stock Hits High",0.010583776,0.96019346,0.029222742,-0.9496097,neg,1,
INFY,2012-07-12 00:00:00 UTC,"Stocks Dive, Try To Regroup, Close Lower",0.016815014,0.96967375,0.013511244,-0.95285875,neg,-1,
PGR,2012-07-13 00:00:00 UTC,Progressive Falls Short of Estimate - Analyst Blog,0.13736115,0.7310549,0.13158391,-0.59369373,neg,0,
OXY,2023-10-09 00:00:00 UTC,"Pre-Market Most Active for Oct 9, 2023 : SQQQ, TQQQ, MRTX, TSLA, KDP, PLTR, QQQ, IONQ, NIO, OXY, XPEV, WMT",0.028240288,0.8993633,0.072396345,-0.871123,neg,0,
FI,2018-08-08 00:00:00 UTC,"Stocks Which Set New 52-Week High Yesterday, August 7th",0.010316177,0.9731986,0.016485203,-0.9628824,neg,1,
PCG,2019-01-15 00:00:00 UTC,"Company News For Jan 15, 2019",0.010578192,0.9374557,0.051966093,-0.9268775,neg,0,
MMSI,2018-11-06 00:00:00 UTC,"CVS Health's (CVS) Q3 Earnings Top Estimate, Gross Margin Up",0.020061156,0.9590785,0.020860301,-0.93901736,neg,0,
PBR,2015-05-18 00:00:00 UTC,"Goldman Downgrades Petrobras And Gran Tierra, Talks 'New Oil Order'",0.06786264,0.6338807,0.29825667,-0.56601804,neg,0,
WY,2021-05-03 00:00:00 UTC,Will This Little-Watched Commodity Bring Down the Stock Market?,0.04360007,0.55231655,0.4040834,-0.50871646,neg,0,
GWW,2015-07-17 00:00:00 UTC,Back-Testing The Dividend Spectrum,0.0111771105,0.96005726,0.028765606,-0.94888014,neg,0,
ORCL,2011-12-21 00:00:00 UTC,Oracle Earnings: Did Warren Buffett Top-Tick Tech?,0.25048193,0.4396095,0.30990863,-0.18912756,neg,0,
CME,2020-04-29 00:00:00 UTC,"CME Group Q1 Adj. EPS $2.330 Beats $2.230 Estimate, Sales $1.522B Beat $1.490B Estimate",0.14518276,0.6355913,0.2192259,-0.49040857,neg,1,
SPTN,2018-03-02 00:00:00 UTC,Mid-Afternoon Market Update: Nektar Therapeutics Gains After Q4 Results; Foot Locker Shares Plummet,0.01391712,0.9680728,0.018010091,-0.9541556,neg,1,
MOD,2023-09-20 00:00:00 UTC,Are Auto-Tires-Trucks Stocks Lagging Li Auto (LI) This Year?,0.017398106,0.92067885,0.061923053,-0.90328074,neg,0,
TD,2023-05-04 00:00:00 UTC,First Horizon Is No Longer Getting Acquired -- Shares Are Tanking,0.010557646,0.95036894,0.039073482,-0.9398113,neg,0,
NTAP,2019-08-02 00:00:00 UTC,"Why Square, Glu Mobile, and NetApp Slumped Today",0.017580569,0.9523968,0.030022603,-0.93481624,neg,0,
CHS,2018-11-28 00:00:00 UTC,Mid-Morning Market Update: Markets Open Higher; Dicks Sporting Goods Profit Beats Estimates,0.012264104,0.9516897,0.036046207,-0.9394256,neg,1,
KSS,2015-02-27 00:00:00 UTC,"JC Penney Company (JCP) Breaks Even in Q4, Shares Down - Analyst Blog",0.047122315,0.9318032,0.021074403,-0.8846809,neg,0,
DFS,2018-07-26 00:00:00 UTC,"The Zacks Analyst Blog Highlights: CME Group, Discover Financial Services, Leucadia National and Houlihan Lokey",0.38265902,0.39673838,0.22060262,-0.014079362,neg,0,
CAT,2012-07-26 00:00:00 UTC,Benzinga's Top Downgrades,0.035952568,0.549365,0.41468245,-0.5134124,neg,0,
EGHT,2015-06-05 00:00:00 UTC,Benzinga's Top Downgrades,0.040994048,0.7980545,0.16095144,-0.75706047,neg,0,
DHR,2022-08-24 00:00:00 UTC,"Top Research Reports for Alphabet, Danaher & Wells Fargo",0.029642832,0.9551579,0.015199335,-0.92551506,neg,0,
FL,2018-05-25 00:00:00 UTC,What Happened in the Stock Market Today,0.06058698,0.6668182,0.27259475,-0.6062312,neg,0,
TSEM,2019-07-29 00:00:00 UTC,"A Look At Benzinga Pro's Most-Searched Tickers For July 29, 2019",0.17308278,0.015573439,0.8113437,0.15750934,neu,0,
VRTX,2023-07-03 00:00:00 UTC,Vertex Pharmaceuticals Stock: Bear vs. Bull,0.05839897,0.011887664,0.9297133,0.046511307,neu,0,
DDS,2018-02-27 00:00:00 UTC,"Volatility Ebbs, Equities Settle In After Yesterday's Gains; Powell Testimony Ahead",0.26394856,0.01293749,0.7231139,0.25101107,neu,0,
ALL,2016-06-01 00:00:00 UTC,"Agree To Buy Allstate Corp. At $52.50, Earn 4.1% Using Options",0.117135875,0.009699979,0.8731642,0.1074359,neu,0,
DB,2016-09-26 00:00:00 UTC,"Close Update: Stocks Retreat as Election Debate Anticipation Weighs, Financials Lose Ground",0.081044436,0.044235554,0.87472004,0.036808882,neu,0,
WFC,2016-07-12 00:00:00 UTC,Wells Fargo: Second-Quarter Earnings Preview,0.062819734,0.015852323,0.92132795,0.04696741,neu,0,
PLCE,2013-08-22 00:00:00 UTC,"The Children's Place Retail Stores, Inc. Raises FY2013 EPS Guidance from $3.05-3.20 to $3.15-3.28 vs $3.16 Est",0.03153123,0.025138889,0.9433299,0.006392341,neu,0,
SU,2018-02-13 00:00:00 UTC,Suncor Hikes Syncrude Stake & Buys Fenja Project Interest,0.022734918,0.08320148,0.8940636,-0.060466565,neu,0,
FDX,2019-06-25 00:00:00 UTC,FedEx points to weak global trade as drag,0.030645737,0.059650898,0.90970343,-0.02900516,neu,-1,
GBDC,2018-02-07 00:00:00 UTC,"Golub Capital BDC NII in-line, beats on total investment income",0.06923871,0.015150429,0.9156108,0.05408828,neu,1,
USB,2019-01-16 00:00:00 UTC,"Noteworthy Wednesday Option Activity: STZ, USB, CAT",0.021551143,0.097176835,0.881272,-0.07562569,neu,0,
DEM,2017-11-25 00:00:00 UTC,"ETF Watchlist: Week Of November 27, 2017",0.024929002,0.08940096,0.88566995,-0.06447196,neu,0,
FL,2015-11-18 00:00:00 UTC,Can Foot Locker (FL) Pull a Surprise with Q3 Earnings?,0.1329476,0.08384899,0.7832035,0.049098603,neu,0,
CNX,2015-07-28 00:00:00 UTC,"CONSOL Energy (CNX) Reports Q2 Loss, Lags Revenues - Tale of the Tape",0.055246487,0.021216381,0.92353714,0.034030106,neu,-1,
MTB,2010-12-29 00:00:00 UTC,Citigroup Raises PT On M&T Bank,0.09519629,0.022098104,0.88270557,0.07309819,neu,0,
GME,2019-01-29 00:00:00 UTC,Mid-Afternoon Market Update: Sanmina Jumps On Upbeat Earnings; Cancer Genetics Shares Slide,0.0952733,0.043875627,0.86085105,0.051397674,neu,1,
PENN,2018-09-26 00:00:00 UTC,5 Reasons Why Investors Should Bet on Boyd Gaming Stock Now,0.03627092,0.035569377,0.9281597,0.00070154294,neu,0,
OXY,2022-05-19 00:00:00 UTC,Should You Buy the Dip Like Warren Buffett With ETFs?,0.04749754,0.020588659,0.9319139,0.026908882,neu,0,
GILD,2014-03-19 00:00:00 UTC,"Stock Market News for March 19, 2014 - Market News",0.032417867,0.33648497,0.63109714,-0.3040671,neu,0,
HOG,2012-04-25 00:00:00 UTC,Harley Profits on Strong Retail Trend - Analyst Blog,0.023960456,0.17635494,0.7996846,-0.15239449,neu,1,
CMCSA,2022-09-29 00:00:00 UTC,CMCSA November 11th Options Begin Trading,0.0315175,0.032901283,0.9355812,-0.0013837852,neu,0,
NEE,2019-02-19 00:00:00 UTC,What Are The Highest Quality Dividend Growth Stocks?,0.022199158,0.02646533,0.9513355,-0.0042661726,neu,1,
FLR,2022-06-01 00:00:00 UTC,"Pre-market Movers: TNXP, CNCE, TXMD, JAN, BFI…",0.02496563,0.02345304,0.9515813,0.0015125908,neu,0,
