ticker,n_rows,first_date,last_date,n_years,med_dollar_vol_recent252,med_dollar_vol_full,max_gap_days,error
AEL,5051,2003-12-04,2023-12-28,20.07,25675197.850990295,8772495.944595339,5,
AEM,12827,1973-02-21,2023-12-28,50.85,122005783.03432465,,7,
AEMD,6247,1999-03-04,2023-12-28,24.82,44501.999855041504,30000.0,7,
AEO,7480,1994-04-14,2023-12-28,29.71,58528166.26081467,55472580.96923828,7,
AEP,13618,1970-01-02,2023-12-28,53.98,245739901.97181702,14976434.375,7,
AER,4304,2006-11-21,2023-12-28,17.1,63583973.95763397,32344809.49573517,5,
AERI,1683,2013-10-25,2020-07-02,6.69,16637176.904773712,13326900.0,4,
AES,8189,1991-06-26,2023-12-28,32.51,106529222.62144089,53177023.42748642,7,
AESE,532,2017-10-25,2020-07-02,2.69,128943.99991035461,86527.50019431114,18,
AEY,6943,1996-05-30,2023-12-28,27.58,21765.49954891205,22288.000106811523,7,
AEYE,2688,2013-04-26,2023-12-28,10.67,120855.00111579895,58919.99931335449,4,
AEZS,5947,2000-05-10,2023-12-28,23.63,24582.000148296356,221087.9994392395,7,
AFB,5518,2002-01-29,2023-12-28,21.91,683514.9779319763,721921.9909667969,5,
AFC,3328,2007-04-17,2020-07-02,13.21,357214.00814056396,305520.0004577637,5,
AFG,11040,1980-03-17,2023-12-28,43.78,38220792.63763428,5653160.557079315,7,
AFGC,993,2020-01-21,2023-12-28,3.93,129787.00304031372,188473.50368499756,4,
AFGD,899,2020-06-04,2023-12-28,3.56,141486.00025177002,200619.99893188477,4,
AFGH,1161,2015-11-20,2020-07-02,4.62,303249.50132369995,337787.2024536133,4,
AFH,1861,2013-02-12,2020-07-02,7.38,50741.50015413761,446278.01723480225,4,
AFI,1073,2016-03-17,2020-06-19,4.26,794192.5176382065,1723274.9605178833,4,
AFIF,1319,2018-10-02,2023-12-28,5.24,166264.4992828369,175599.00751113892,4,
AFIN,493,2018-07-19,2020-07-02,1.95,5938012.957954407,5371626.092720032,4,
AFK,3893,2008-07-14,2023-12-28,15.46,118800.00042915344,246045.0107574463,5,
AFL,11040,1980-03-17,2023-12-28,43.78,155228775.37231445,44560120.585250854,7,
AFMC,1024,2019-12-04,2023-12-28,4.07,4889.500045776368,2452.000045776367,4,
AFMD,2340,2014-09-12,2023-12-28,9.29,442829.109326005,1434332.7310621738,4,
AFSM,1024,2019-12-04,2023-12-28,4.07,2559.39998626709,2569.0500259399414,4,
AFT,3232,2011-02-25,2023-12-28,12.84,755981.0009002686,966027.0153522491,5,
AFTY,2216,2015-03-12,2023-12-28,8.8,5234.850025177002,56255.00020980835,4,
AFYA,1120,2019-07-19,2023-12-28,4.44,2718481.4967155457,3453850.5229473114,4,
AG,4300,2006-11-28,2023-12-28,17.08,31426812.620329857,15779205.174326897,5,
AGBA,1112,2019-07-31,2023-12-28,4.41,97744.99944448471,12948.000526428223,4,
AGBAR,1,2020-07-01,2020-07-01,0.0,20.81000059843063,20.81000059843063,0,
AGCO,7984,1992-04-16,2023-12-28,31.7,73049820.39031982,31241459.40170288,7,
AGD,4386,2006-07-27,2023-12-28,17.42,522378.9979934693,567699.9979972839,5,
AGE,5446,2000-01-03,2023-12-28,23.98,10567.499688267708,,619,
AGEN,6011,2000-02-08,2023-12-28,23.89,6705260.008448362,2260079.8950195312,7,
AGFS,1413,2014-11-20,2020-07-02,5.62,171305.5003285408,567864.0054702759,4,
AGFSW,1,2020-07-02,2020-07-02,0.0,3091.3049583230113,3091.3049583230113,0,
AGG,5098,2003-09-29,2023-12-28,20.25,734528205.7964325,139179045.44563293,5,
AGGP,1044,2016-05-10,2020-07-02,4.15,144617.0000076294,454021.74282073975,4,
AGGY,2134,2015-07-09,2023-12-28,8.47,4792561.30065918,3810207.460975647,4,
AGI,5201,2003-05-02,2023-12-28,20.66,31205356.986665726,1295597.9590415955,5,
AGIO,2627,2013-07-24,2023-12-28,10.43,10555217.12694168,23250429.18395996,4,
AGLE,1946,2016-04-07,2023-12-28,7.72,188208.7122888565,584964.113714695,4,
AGM-A,7565,1993-12-13,2023-12-28,30.04,0.0,1700.0,7,
AGM,7523,1994-02-10,2023-12-28,29.88,7100065.06652832,1212504.9730300903,7,
AGMH,1435,2018-04-18,2023-12-28,5.69,3644.0500676631927,60419.99855041503,4,
AGN,7755,1989-06-22,2020-04-01,30.78,456623083.2206726,31108800.0,7,
AGNC,3933,2008-05-15,2023-12-28,15.62,110239767.43245125,84856416.8434143,5,
AGNCM,1214,2019-03-06,2023-12-28,4.81,410315.993976593,544836.0008239746,4,
AGNCN,1605,2017-08-07,2023-12-28,6.39,767047.9885101318,708288.9915466309,8,
AGNCO,1071,2019-09-27,2023-12-28,4.25,615737.9915237427,896323.2307434082,4,
AGNCP,982,2020-02-05,2023-12-28,3.89,853634.0232849121,1157831.959247589,4,
AGO,4955,2004-04-23,2023-12-28,19.68,13134183.919715881,22764768.844604492,5,
AGQ,3792,2008-12-04,2023-12-28,15.06,21129804.048728943,18226107.494926453,5,
AGR,2021,2015-12-17,2023-12-28,8.03,23789669.492340088,22161727.702713013,4,
AGRO,3251,2011-01-28,2023-12-28,12.91,4585265.8272743225,2903295.9842681885,5,
AGRX,2417,2014-05-23,2023-12-28,9.6,108973.49967956543,468720.0,4,
AGS,1491,2018-01-26,2023-12-28,5.92,1809577.4745225906,2384200.0,4,
AGT,793,2017-04-27,2020-07-02,3.18,54064.499855041504,63368.99814605712,5,
AGTC,1579,2014-03-27,2020-07-02,6.27,579881.9841742516,838680.0022125244,4,
AGX,7140,1995-08-18,2023-12-28,28.36,2505995.534133911,141652.0001411438,7,
AGYS,11041,1980-03-17,2023-12-28,43.78,9928881.510543823,,7,
AGZ,3808,2008-11-11,2023-12-28,15.13,2527002.0362854004,2019805.4912567136,5,
AGZD,2524,2013-12-18,2023-12-28,10.03,1199917.4997329712,315810.0025177002,4,
AHC,1385,2015-01-02,2020-07-02,5.5,73430.9984445572,117845.00494003296,4,
AHCO,1405,2018-05-31,2023-12-28,5.58,11905198.536539078,9563684.765815735,4,
AHH,2680,2013-05-08,2023-12-28,10.64,3010031.9450855255,2829628.0235290527,4,
AHPI,7172,1992-01-14,2020-07-02,28.47,18487.999939918518,16800.0,7,
AHT,5121,2003-08-26,2023-12-28,20.34,1792772.4912762642,3648131.3574314117,5,
AI,6436,1997-12-23,2023-12-28,26.01,324376364.6305084,3618125.062942505,160,
AIA,4054,2007-11-20,2023-12-28,16.1,2061101.000213623,1608259.9815368652,5,
AIC,2209,2015-03-23,2023-12-28,8.77,55663.44985961914,47277.00061798096,4,
AIEQ,1559,2017-10-18,2023-12-28,6.19,403390.6034469604,665549.9982833861,4,
AIF,2730,2013-02-26,2023-12-28,10.83,834756.0121536255,786336.0008239746,4,
AIG,12861,1973-01-02,2023-12-28,50.98,202367206.85577393,,7,
AIH,1051,2019-10-25,2023-12-28,4.18,2804.000097513199,88739.9980545044,4,
AIHS,1456,2018-03-19,2023-12-28,5.78,10639.300206303596,108771.39849960804,4,
AIIQ,495,2018-06-06,2020-06-19,2.04,23871.60062789917,22261.500549316403,4,
AIKI,1337,2015-01-02,2020-07-02,5.5,103038.18504214287,97570.30220031738,56,
AIM,11969,1975-06-06,2023-12-28,48.56,55128.4997805953,42262.5,13,
AIMC,3400,2006-12-15,2020-06-19,13.51,11188465.582084656,3259048.0491638184,5,
AIMT,1236,2015-08-06,2020-07-02,4.91,20386826.82571411,9079022.589302063,4,
AIN,9134,1987-09-30,2023-12-28,36.24,11412905.101013184,2878041.904735565,7,
AINC,3116,2011-06-07,2023-12-28,12.56,17470.000076293945,66125.0,24,
AINV,4080,2004-04-06,2020-06-19,16.2,6718704.888916016,10324062.099456787,5,
AIO,5056,2000-01-03,2023-12-28,23.98,1690406.014156342,0.0,953,
AIQ,1415,2018-05-16,2023-12-28,5.62,7035292.024040222,486207.9853057861,4,
AIR,11040,1980-03-17,2023-12-28,43.78,10227237.017059326,1922000.551700592,7,
AIRG,1857,2016-08-12,2023-12-28,7.38,85528.49880456924,564569.9830055237,4,
AIRI,4958,2000-10-04,2020-06-19,19.71,50360.00197529793,0.0,7,
AIRR,2469,2014-03-11,2023-12-28,9.8,2822535.460281372,541879.8042297363,4,
AIRT,10002,1984-04-24,2023-12-28,39.68,57542.49954223633,10323.666381835938,7,
AIRTP,231,2019-06-11,2020-06-22,1.03,29879.999542236335,29879.999542236335,13,
AIT,11040,1980-03-17,2023-12-28,43.78,27551574.575042725,1148599.9760627747,7,
AIV,7412,1994-07-22,2023-12-28,29.43,7379273.930549622,24007099.738883972,7,
AIW,1798,2013-05-06,2020-07-02,7.16,44397.000312805176,23669.500255584717,4,
AIZ,5009,2004-02-05,2023-12-28,19.89,47990746.687316895,40793369.44580078,5,
AIZP,568,2018-03-08,2020-06-19,2.28,546545.9953308105,535076.993560791,5,
AJG,9962,1984-06-20,2023-12-28,39.52,167102765.80963135,9934693.676376343,7,
AJRD,9940,1981-02-02,2020-07-02,39.41,24714471.23775482,2187521.966266632,7,
AJX,2234,2015-02-13,2023-12-28,8.87,706060.5062007904,652142.0086860657,4,
AJXA,5545,2000-01-03,2023-12-28,23.98,122824.9979019165,0.0,66,
AKAM,6080,1999-10-29,2023-12-28,24.16,123822564.90631104,100378063.37738037,7,
AKBA,2462,2014-03-20,2023-12-28,9.77,1363814.9688720703,3732708.8343143463,4,
AKCA,754,2017-07-05,2020-07-02,2.99,3640731.4514160156,4859065.960025787,4,
AKER,1623,2014-01-23,2020-07-02,6.44,735791.4359092712,122880.0048828125,4,
AKG,3084,2008-01-02,2020-04-01,12.25,280083.99599790573,396121.98717594147,5,
AKO-A,7423,1994-07-07,2023-12-28,29.48,12385.000228881836,47771.001052856445,7,
AKO-B,6728,1997-04-07,2023-12-28,26.72,195642.49877929688,223374.49865341187,7,
AKR,7704,1993-05-27,2023-12-28,30.59,9309381.782341003,,7,
AKRO,1140,2019-06-20,2023-12-28,4.52,24548907.83519745,5139010.435962677,4,
AKRX,4447,2002-08-02,2020-04-01,17.66,4968977.96087265,3805038.013243675,5,
AKTS,2158,2015-06-04,2023-12-28,8.57,1258977.4995088577,1214582.9695343971,4,
AKTX,2513,2014-01-06,2023-12-28,9.97,42553.049948215485,90100.0,4,
AKUS,5,2020-06-26,2020-07-02,0.02,21783906.817245483,21783906.817245483,3,
AL,3195,2011-04-19,2023-12-28,12.69,23721139.13040161,22750384.78088379,5,
ALAC,258,2018-11-21,2020-07-02,1.61,33161.500072479255,34843.001317977905,26,
ALACR,826,2012-03-08,2020-07-02,8.32,0.0,0.0,1444,
ALACU,143,2018-10-24,2020-06-26,1.67,20159.999847412113,20159.999847412113,48,
ALB,7517,1994-02-22,2023-12-28,29.85,374536667.6071167,,5,
ALBO,3310,2007-05-11,2020-07-02,13.14,1566754.5510292053,527893.496131897,5,
ALC,5208,2000-11-17,2023-12-28,23.11,55923288.98086548,541213.459769249,285,
ALCO,12776,1973-05-03,2023-12-28,50.65,707988.0083084106,95272.50137329102,7,
ALDX,2432,2014-05-02,2023-12-28,9.66,3999226.4335632324,1120896.9695091248,4,
ALE,12776,1973-05-03,2023-12-28,50.65,16188391.621780396,2118468.75,7,
ALEC,1232,2019-02-07,2023-12-28,4.89,3362258.9812278748,6789859.788322449,4,
ALEX,2904,2012-06-14,2023-12-28,11.54,4033483.505535126,5682405.011367798,5,
ALFA,1365,2015-01-02,2020-07-02,5.5,81242.49858856201,154264.00604248047,5,
ALG,7751,1993-03-19,2023-12-28,30.78,8428393.19152832,474300.0,7,
ALGN,5765,2001-01-30,2023-12-28,22.91,221871865.40222168,24022535.75820923,7,
ALGR,412,2018-08-13,2020-04-01,1.63,4026.0000228881836,11659.499979019165,4,
ALGT,4292,2006-12-08,2023-12-28,17.05,18342745.305633545,16235174.536132812,5,
ALIM,3446,2010-04-22,2023-12-28,13.68,54152.000522613525,218074.0007519722,5,
ALJJ,6104,1996-04-03,2020-07-02,24.25,20271.99986129999,23750.0,7,
ALK,11040,1980-03-17,2023-12-28,43.78,71539121.44432068,8354587.358665466,7,
ALKS,8176,1991-07-16,2023-12-28,32.45,37739622.15299606,15427689.87941742,7,
ALL,7699,1993-06-03,2023-12-28,30.57,187117430.45043945,124626600.0,7,
ALLE,2545,2013-11-18,2023-12-28,10.11,76331055.4069519,58553221.591186516,4,
ALLK,1371,2018-07-19,2023-12-28,5.44,3509501.942896843,11533647.607421875,4,
ALLO,1312,2018-10-11,2023-12-28,5.21,8453183.94935131,14474958.011054993,4,
ALLT,4307,2006-11-16,2023-12-28,17.11,149051.9998550415,705557.978439331,5,
ALLY,1556,2014-01-28,2020-04-01,6.17,102949933.79173279,78738525.31013489,4,
ALNA,670,2017-11-02,2020-07-02,2.66,428390.98544716835,439707.5006008148,4,
ALNY,4929,2004-06-01,2023-12-28,19.57,111031405.88760376,32319210.69908142,5,
ALO,3065,2007-12-28,2020-06-30,12.51,117224.99631047249,162000.0,29,
ALOT,10651,1981-10-01,2023-12-28,42.24,86519.99917030334,,5,
ALPN,2149,2015-06-17,2023-12-28,8.53,1622116.0176753998,353891.9912338257,4,
ALRM,2142,2015-06-26,2023-12-28,8.51,10999218.898963928,14180446.891784668,4,
ALRN,1636,2017-06-29,2023-12-28,6.5,31337.49943971634,177349.3539816141,4,
ALRS,5231,2003-03-20,2023-12-28,20.77,564884.4879150391,5290.000152587891,5,
ALSK,5188,1999-11-18,2020-07-02,20.62,177429.9983382225,548068.0028438568,7,
ALSN,2967,2012-03-15,2023-12-28,11.79,32087888.373947144,35059215.67802429,5,
ALT,6002,2000-01-04,2023-12-28,23.98,6493333.133983612,131841.59988212585,10,
ALTA,3,2020-01-02,2020-07-02,0.5,594000.0,594000.0,181,
ALTG,1179,2019-04-25,2023-12-28,4.68,2640130.549955368,886031.9932937623,4,
ALTM,412,2018-11-12,2020-07-02,1.64,907659.9725723267,1335609.998703003,4,
ALTR,1549,2017-11-01,2023-12-28,6.15,17181738.175201416,11522316.348266602,4,
ALTS,1305,2015-01-02,2020-07-02,5.5,18492.249488830566,56257.501602172844,8,
ALTY,2131,2015-07-14,2023-12-28,8.46,116158.49690437317,99371.99821472168,4,
ALUS,109,2020-01-10,2020-07-02,0.48,335625.49476623535,335625.49476623535,5,
ALV,6713,1997-04-28,2023-12-28,26.67,72635592.96569824,31569415.51437378,7,
ALX,12826,1973-02-21,2023-12-28,50.85,2088538.0615234377,251187.5,7,
ALXN,6129,1996-02-28,2020-07-02,24.34,203868998.02856445,31757027.254486084,7,
ALYA,5917,1996-09-27,2020-04-01,23.51,25989.000284671783,85084.99789237975,7,
AM,2302,2014-11-05,2023-12-28,9.14,23797076.94683075,20022031.603956223,4,
AMAG,8586,1986-06-11,2020-07-02,34.06,5752331.612443924,216897.75104522705,7,
AMAL,1356,2018-08-09,2023-12-28,5.39,2265470.977306366,1056929.9953460693,4,
AMAT,11041,1980-03-17,2023-12-28,43.78,717700809.4314575,,7,
AMBA,2822,2012-10-10,2023-12-28,11.21,29339511.626815796,35471315.72570801,5,
AMBC,2685,2013-05-01,2023-12-28,10.66,5059808.545303345,5489929.883003235,4,
AMBO,1404,2018-06-01,2023-12-28,5.57,5169.300026446581,24730.000019073486,4,
AMC,2524,2013-12-18,2023-12-28,10.03,134462333.47022533,27625530.42449951,4,
AMCA,606,2017-08-11,2020-07-01,2.89,20302.099895477295,25482.99961090088,13,
AMCI,1155,2014-11-04,2020-07-02,5.66,41063.49949836731,3639.9998664855957,76,
AMCIU,361,2018-11-16,2020-06-30,1.62,0.0,0.0,18,
AMCR,2038,2012-05-15,2020-06-19,8.1,56717259.71045494,0.0,5,
AMCX,2277,2011-06-16,2020-07-02,9.05,22317954.093170166,33088914.32647705,5,
AMD,11040,1980-03-17,2023-12-28,43.78,5688640672.697449,56766346.875,7,
AME,9943,1984-07-19,2023-12-28,39.44,137368070.1019287,,5,
AMED,7394,1994-08-17,2023-12-28,29.36,31246256.657409668,8384491.637420654,7,
AMEH,3727,2009-03-11,2023-12-28,14.8,5367584.0764045715,4080.0000607967377,5,
AMG,6567,1997-11-21,2023-12-28,26.1,32112823.487854004,37061946.685791016,7,
AMGN,10217,1983-06-17,2023-12-28,40.53,565922356.2515258,341292875.0,7,
AMH,2621,2013-08-01,2023-12-28,10.41,70465823.36177826,43057194.24743652,4,
AMHC,49,2020-01-10,2020-06-29,0.47,192034.9924087524,192034.9924087524,25,
AMHCU,65,2019-11-20,2020-06-23,0.59,50847.001361846924,50847.001361846924,17,
AMHCW,1,2020-06-29,2020-06-29,0.0,2.0,2.0,0,
AMJ,3670,2009-06-02,2023-12-28,14.57,6593388.944816589,29054524.333953857,5,
AMK,4244,2000-01-03,2020-06-19,20.46,3173923.948574066,0.0,850,
AMKR,6458,1998-05-01,2023-12-28,25.66,22764328.973960876,12367856.464862823,7,
AMLP,3359,2010-08-25,2023-12-28,13.34,52324332.170295715,72198455.0,5,
AMN,5569,2001-11-13,2023-12-28,22.12,52260339.79682922,6453950.0,5,
AMNA,902,2015-01-07,2023-12-28,8.97,0.0,3189.7000312805176,794,
AMNB,6220,1999-04-13,2023-12-28,24.71,640490.5015945435,194465.0040626526,7,
AMOM,1161,2019-05-21,2023-12-28,4.61,40830.900859832764,45737.60070800781,4,
AMOT,9947,1980-10-20,2020-04-01,39.45,1451221.9375610352,21284.999179840088,7,
AMOV,4879,2001-02-08,2020-07-02,19.39,47115.000772476196,94457.99903869629,7,
AMP,3661,2005-09-15,2020-04-01,14.54,125121466.45736694,103660597.44262697,5,
